segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation
6aa6fd37562921a2408c2a7be27f2fef,Nhánh B1,10.7923857,106.7519936,10.7926848,106.7536837,2.5,65.0,,trunk,asphalt,yes,,,,,,,,,,,,0.001989,79.78707289539034,0.1877724808453984,3,1.0651188028168466,8.0,10.0
57ea3c7bfa4eaa6b92261fdedaec2005,Nguyễn Lương Bằng,10.7310052,106.7203264,10.7318083,106.7200097,2.0,65.0,,service,,,,,,,,,,,,,,0.00112,338.8211646507593,0.09534891375716746,1,0.0,6.0,6.0
a89aa36b7c2eff6f567f7598e4be48a7,Xa Lộ Hà Nội,10.8025311,106.74573,10.817913,106.7579707,1.0,50.0,,,,,,,,,,,,,,,,0.027623,38.01230403572248,2.164895408098169,1,-0.13857482392812034,12.0,9.0
22700581d6bd3daf2342f1772c11114c,Đường Nguyễn Oanh,10.8263467,106.6799853,10.8259802,106.6799069,1.0,50.0,,,,,,,,,,,,,,,,0.000445,191.8657162438378,0.04143641585430899,4,-2.4133361425756847,30.0,29.0
40ee8f79ed99e5258c294b0ede150772,Liên Xã,10.8884699,106.5839509,10.8885006,106.5840148,1.0,50.0,,,,,,,,,,,,,,,,9.5e-05,63.92997625354889,0.007767701343575548,4,12.873821427584526,26.0,27.0
1e8dcc83952c7dc465992aac257443b6,Bạch Đằng,10.8143903,106.6785067,10.8029569,106.710341,1.0,50.0,,,,,,,,,,,,,,,,0.043268,110.08146676459216,3.703917091720434,5,-0.26998444490978324,17.0,7.0
8c39031fcfb5e60e3c246f21fe38154a,Cầu Bùi Hữu Nghĩa,10.7930658,106.6974031,10.7940986,106.6976069,1.0,50.0,,,,,,,,,,,,,,,,0.001237,10.969958613552194,0.11639521473796566,5,0.859141848959381,15.0,16.0
a828dad6ef44da85028cdabab924f10c,Hai Bà Trưng,10.7821327,106.6989225,10.78789,106.6919402,1.0,50.0,,footway,,,,,,,,,,,,,,0.01274,310.0101808943964,0.9943245874577551,2,2.8159818587599403,5.0,33.0
ae0a5c7b6986f71651b93f2aa09885af,Hẻm 416 Lạc Long Quân,10.7697921,106.6444644,10.7697654,106.6445026,1.0,50.0,,,,,,,,,,,,,,,,6.5e-05,125.43127729031892,0.005116443455651254,4,0.0,28.0,28.0
ee3a62132d60650c698f951d336fd4f7,Lạc Long Quân,10.7742613,106.6477025,10.769814,106.6444321,1.0,50.0,,,,,,,,,,,,,,,,0.007718,215.84500265200313,0.6082218521207906,1,3.617101214513891,6.0,28.0
