street_name,long_snode,lat_snode,long_enode,lat_enode,match_confidence,matched_geometry,lengthKm,bearing,timeStamp,dayOfWeek
3 Tháng 2,106.6665142,10.7674299,106.6639913,10.766037,0.980266,"[[106.666503, 10.767449], [106.663992, 10.766037]]",0.31603668699506726,240.66441499783247,2512081758,0
3 Tháng 2,106.6639913,10.766037,106.6494435,10.7580658,0.98038,"[[106.663992, 10.766037], [106.660253, 10.764042], [106.649393, 10.758155]]",1.8191211386466222,240.8511286794635,2512081758,0
3 Tháng 2,106.6811565,10.7776498,106.6482993,10.7575536,0.981611,"[[106.681182, 10.777636], [106.679957, 10.775513], [106.67946, 10.77496], [106.673345, 10.77114], [106.670074, 10.769331], [106.660253, 10.764042], [106.648299, 10.757554]]",4.225604367695022,238.0973284960429,2512081758,0
3 Tháng 2,106.6482993,10.7575536,106.6562075,10.7618422,0.980432,"[[106.648346, 10.75747], [106.656255, 10.761757]]",0.9865028614360991,61.10044429637725,2512081758,0
3 Tháng 2,106.6656006,10.7667954,106.6597513,10.7637713,0.980766,"[[106.66557, 10.766847], [106.665389, 10.766745], [106.665143, 10.766667], [106.660253, 10.764042], [106.659751, 10.763771]]",0.7219289409238135,242.2443312027392,2512081758,0
18,106.5374757,10.6812591,106.5402437,10.681695,0.974007,"[[106.537476, 10.681259], [106.537936, 10.681515], [106.538312, 10.681579], [106.539562, 10.681617], [106.540242, 10.681709]]",0.3066425172190089,80.895215755621,2512081758,0
3 Tháng 2,106.6597513,10.7637713,106.6640311,10.7659517,0.981511,"[[106.659796, 10.763693], [106.664038, 10.765954]]",0.5265754138129072,62.58883332691562,2512081758,0
3 Tháng 2,106.6562075,10.7618422,106.6453021,10.755822,0.98161,"[[106.656207, 10.761842], [106.645318, 10.755928], [106.645256, 10.755877]]",1.3660783644781092,240.66868879060385,2512081758,0
3 Tháng 2,106.6494435,10.7580658,106.6734728,10.7711007,0.980792,"[[106.649443, 10.758067], [106.665185, 10.766587], [106.673473, 10.771101]]",2.9976867161454885,61.09136239332747,2512081758,0
3 Tháng 2,106.6734728,10.7711007,106.6665142,10.7674299,0.98021,"[[106.67342, 10.771185], [106.670074, 10.769331], [106.669806, 10.769132], [106.666534, 10.767397]]",0.8626125382169273,241.76585897791853,2512081758,0
