segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek,speedLimitRatio,relativeCongestionIndex,routeSlopePercent,intersectionCount,hourOfDay,dayType
20ca31c84c747b68760945e40693c888,Đường 3 Tháng 2,10.7711007,106.6734728,10.7674299,106.6665142,1.0,50.0,FRC2,service,concrete,,,,19.5,31.5,0.0,0.6190476190476191,1045.71,38.095238095238095,0,C,0.0923076923076923,,,,,,,,,,0.010629,241.76585897791853,0.8626125382169273,2603090755,0,0.39,0.38095238095238093,-1.2751959324330795,2,7,Weekday
3b8bf11ecda0300fb74e18907c39268b,Đường Trần Cao Vân,10.7829947,106.6962159,10.7826997,106.6955259,1.5,50.0,FRC3,secondary,asphalt,yes,,,14.5,27.0,0.0,0.5370370370370371,1790.0,46.29629629629629,0,C,0.12413793103448276,,,,,,,,,,0.000985,246.48038755953382,0.08221587101736993,2603090755,0,0.29,0.46296296296296297,-1.2163101693451959,1,7,Weekday
28d72ad2e9fb97295518c87dc1092a1a,Đường Hải Thượng Lãn Ông,10.7507925,106.6590186,10.8515609,106.6439339,2.0,50.0,FRC4,primary,asphalt,yes,,,31.5,40.5,0.0,0.7777777777777778,1520.0,22.22222222222222,0,B,0.05714285714285714,,,,,,,,,,0.115853,351.63632315155854,11.267738011423397,2603090755,0,0.63,0.2222222222222222,-0.044374478665823856,3,7,Weekday
d2c73271770d0b2261ce16c0df6fb76d,Đường Phạm Văn Đồng,10.8252486,106.7108326,10.8239671,106.706066,2.0,65.0,FRC2,trunk,asphalt,yes,,,33.0,42.0,0.0,0.7857142857142857,1491.43,21.42857142857143,0,B,0.05454545454545455,,,,yes,,,,,,0.006048,254.69238461724655,0.540166593475048,2603090755,0,0.5076923076923077,0.21428571428571427,-1.11076843190177,1,7,Weekday
554c8c4dc064a89fa434b01dc3086741,Đường Quốc Lộ 1A,10.8621176,106.6511715,10.8620995,106.6499973,1.0,80.0,FRC1,trunk,,yes,,QL.1,38.0,47.0,0.0,0.8085106382978723,704.68,19.14893617021277,0,B,0.04736842105263158,,,,yes,,,,,,0.001192,269.10087184671386,0.12840033458105857,2603090755,0,0.475,0.19148936170212766,-1.5576283399303832,3,7,Weekday
30aa4a0c05199e003fc2617a8fda9580,Vòng Xoay Lạc Long Quân,10.7669732,106.6423452,10.7669707,106.6423817,2.0,50.0,FRC4,secondary,asphalt,yes,,,18.0,31.0,0.0,0.5806451612903226,2229.68,41.93548387096774,0,C,0.1,,,,,,,,,,3.9e-05,93.98823737037054,0.004001662495136778,2603090756,0,0.36,0.41935483870967744,0.0,4,7,Weekday
5607986b5ca983a49abe235ecaa49877,Đường Lãnh Binh Thăng,10.7631981,106.6504197,10.7622847,106.65559,1.5,50.0,FRC4,secondary,asphalt,,,,21.5,31.0,0.0,0.6935483870967742,1367.42,30.645161290322577,0,C,0.08372093023255814,,,,,,,,,,0.006084,100.19384543122959,0.5744511913421295,2603090756,0,0.43,0.3064516129032258,0.6963167733457959,3,7,Weekday
07c3b6b25b61229d668d7c4c6917d65c,Vòng Xoay Ngã Sáu Phù Đổng,10.7713876,106.6930624,10.7715326,106.6933233,2.0,50.0,FRC4,tertiary,asphalt,yes,,,18.5,30.0,0.0,0.6166666666666667,2100.0,38.33333333333333,0,C,0.0972972972972973,,,,,,,,,,0.000406,60.50154990538459,0.03273353865378729,2603090756,0,0.37,0.38333333333333336,0.0,2,7,Weekday
70f1b14a609deef6532cfd6eac842e1d,Đường Trần Văn Kiểu,10.7465385,106.6289013,10.7460179,106.6288456,1.0,50.0,FRC2,service,concrete,,,,24.0,35.0,0.0,0.6857142857142857,925.71,31.428571428571427,0,C,0.07500000000000001,,,,,,,,,,0.000576,186.00064711043208,0.05790646338251226,2603090756,0,0.48,0.3142857142857143,0.0,4,7,Weekday
f633bf06989ace67548c52bce7130e95,Đường Phan Văn Trị,10.8269605,106.6885765,10.8112469,106.6954833,1.0,50.0,FRC3,service,asphalt,,,,19.5,31.0,0.0,0.6290322580645161,1027.74,37.096774193548384,0,C,0.0923076923076923,,,,,,,,,,0.02262,156.64805407407653,1.895142864338763,2603090756,0,0.39,0.3709677419354839,1.1608623504843818,2,7,Weekday
