segmentId,input_segment_id,name,lat_start,lon_start,lat_end,lon_end,length_km,bearing_deg,curvature_index,frc,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,LOS,trafficVolume,occupancy,crossTime_sec,incidentFlag,lane_snap,lane_here,lane_osm,lane_final,speedLimit_snap,speedLimit_osm,speedLimit_final,roadType,surface,oneway,width,ref,bridge,tunnel,cycleway,sidewalk,lit,smoothness,parking,here_length,here_baseTime,here_travelTime,mapbox_text,mapbox_place_name,mapbox_place_type,mapbox_center_lon,mapbox_center_lat,mapbox_category,mapbox_class,mapbox_type,mapbox_region,mapbox_place,mapbox_locality,mapbox_country,mapbox_postcode,timeStamp,dayOfWeek
baf64f563cfe688df4fa44e5ae3f87d7,,Đường Võ Văn Kiệt,10.7502942,106.6630864,10.7500276,106.6634461,0.049168,127.03,0.000626,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,484,,,,,,,,,,,,,,,,2510171934,4
d69cf294f830fb191a1cc40998045761,,Lê Hoàng Phái,10.8428373,106.6753185,10.8395688,106.6754115,0.361683,178.4,0.003361,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,2510171939,4
3c45cb822d65c8e4e3364f4e7b3ae167,,Đường Số 354/15 Đướng Lý Thường Kiêt,10.7760663,106.6587872,10.7760663,106.6587872,0.0,0.0,0.0,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,2510171952,4
edd04a4ad93a14c44c8817dc0837f268,,Đường Thuận Kiều,10.7552474,106.6584197,10.7546122,106.6583409,0.070788,186.95,0.000714,,0,,,1.0,A,2000.0,,,0,,,2.0,2,,,50,residential,asphalt,,,,,,,,,,,11,,,,,,,,,,,,,,,,2510171952,4
1379ec4a4dc70a809d7df14442eca710,,Hẻm 1129 Lạc Long Quân,10.7897093,106.6518377,10.7896403,106.6520158,0.02092,111.52,0.000247,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2510171952,4
06bcedd952eae18f7df052dc12bed073,,Cầu An Lập,10.729901,106.602171,10.7277176,106.60178,0.24527,189.98,0.002574,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,1246,,,,,,,,,,,,,,,,2510171952,4
009679450cd5669cc80d7892fd165528,,Sư Vạn Hạnh,10.77004,106.6705481,10.77004,106.6705481,0.0,0.0,0.0,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,asphalt,,,,,,,,,,,0,,,,,,,,,,,,,,,,2510171952,4
d2c73271770d0b2261ce16c0df6fb76d,,Cầu Bình Lợi,10.8252486,106.7108326,10.8239671,106.706066,0.540167,254.69,0.006048,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,2606,,,,,,,,,,,,,,,,2510171952,4
480e682b47457301d6a5232e37bb2b1c,,Nguyễn Bình,10.6764523,106.7460372,10.6764671,106.7461005,0.007116,76.62,7.8e-05,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,2510171952,4
51c378dc170a6f6ecbf82daa1844e6b7,,Số 12,10.867114,106.7578623,10.8672756,106.7622334,0.478254,87.84,0.004533,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,2510171952,4
34b694fa39d720c50e59d25c063bdac1,,Cầu Bình Phú,10.8547733,106.7343846,10.8550441,106.7349099,0.064778,62.3,0.000796,,0,,,1.0,A,2000.0,,,0,,,2.0,2,,,50,secondary,asphalt,,,,,,,,,,,14,,,,,,,,,,,,,,,,2510171952,4
444c90dbab5fb43ac25e4e7b3069667e,,Hẻm 504 Kinh Dương Vương,10.7379148,106.6147828,10.7377688,106.6146944,0.018823,210.75,0.000234,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,asphalt,,,,,,,,,,,257,,,,,,,,,,,,,,,,2510171952,4
3ddb589d23f70a8855728e4502f9150f,,Đường Tùng Thiện Vương,10.746712,106.6604334,10.746844,106.6604618,0.014928,11.94,0.00016,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,asphalt,,,,,,,,,,,1421,,,,,,,,,,,,,,,,2510171952,4
5f58685349eaa85e87f8ffa517fc2c3e,,Đường Tạ Uyên,10.7537874,106.6537848,10.7537826,106.6537256,0.006497,265.28,6.4e-05,,0,,,1.0,A,3000.0,,,0,,,3.0,3,,,50,primary,asphalt,yes,,,,,,,,,,11,,,,,,,,,,,,,,,,2510171952,4
ef35aa07cbe1e7e85fde1e038bed95e4,,Nam Kỳ Khởi Nghĩa,10.7758374,106.6990601,10.7898473,106.683905,2.269073,313.26,0.029165,,0,,,1.0,A,3000.0,,,0,,,3.0,3,,,50,secondary,asphalt,yes,,,,,,,,,,471,,,,,,,,,,,,,,,,2510171952,4
1ada0b30113f4c9a227da67235d74761,,Tam Bình,10.8609748,106.7421212,10.8625757,106.743489,0.231784,40.0,0.002969,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,service,,,,,,,,,,,,15,,,,,,,,,,,,,,,,2510171952,4
4c9a41946bb244d0a1f0b542558b7816,,Đường cao tốc Thành phố Hồ Chí Minh – Long Thành – Dầu Giây,10.796707,106.7886419,10.7961184,106.7760321,1.380567,267.28,0.013198,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,10809,,,,,,,,,,,,,,,,2510171952,4
f7bcd82f009170b070b6b2c51ac16e84,,Hẻm 5 Hạnh Thông,10.8265194,106.6800719,10.8280713,106.6792437,0.194086,332.34,0.00238,,0,,,1.0,A,1000.0,,,0,,,,1,,50,50,residential,asphalt,,,,,,,,,,,1709,,,,,,,,,,,,,,,,2510171952,4
565705c0eed96a1a9a86d19728864b8e,,Thoại Ngọc Hầu,10.7842211,106.6392437,10.78599,106.6416689,0.329596,53.41,0.004194,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,asphalt,,,,,,,,,,,15,,,,,,,,,,,,,,,,2510171952,4
36f0793dfa3b722599200d458bd014aa,,Sư Vạn Hạnh,10.7774435,106.6659013,10.7742735,106.6682193,0.432692,144.31,0.005488,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,2510171952,4
10c32f2911bb190ca64b7c313ade54d0,,Cầu Bến Cát 1,10.8615207,106.6642282,10.8615229,106.6653693,0.124766,89.89,0.001143,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,3622,,,,,,,,,,,,,,,,2510171952,4
4c6fa1feb7bf68d7cde9f86a84e33c69,,Nguyễn Cư Trinh,10.7646953,106.6921459,10.7639667,106.6902673,0.220709,248.46,0.002607,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,2510171952,4
37b229997547e4069c007eb895371e01,,Nguyễn Biểu,10.757374,106.6831763,10.7545595,106.6841957,0.330684,160.41,0.003834,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,2510171952,4
4f735e9651a22406b096484436a338f8,,Nguyễn Hữu Trí,10.6929789,106.5802906,10.6903712,106.5689492,1.273831,256.83,0.013949,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,2510171952,4
b21b9defc7b6a2819b3490e827421fde,,Cầu Kênh B,10.7447939,106.5384069,10.7446677,106.5386627,0.031268,116.66,0.000382,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,tertiary,,,,,yes,,,,,,,248,,,,,,,,,,,,,,,,2510171952,4
b2c16b0585d24925d45b474129c80584,,Đường số 1A,10.7356907,106.6934274,10.7357575,106.6934288,0.007391,1.18,6.8e-05,,0,,,1.0,A,2000.0,,,0,,,2.0,2,,,50,residential,asphalt,yes,,,,,,,,,,0,,,,,,,,,,,,,,,,2510171952,4
0c8c8deb6ff00aea42cec01b72e76bb8,,Đường số 20,10.8292498,106.7225448,10.8292319,106.7225292,0.002613,220.56,3.3e-05,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,1385,,,,,,,,,,,,,,,,2510171952,4
6afd746a49d0b1813739926e3782a98c,,Thăng Long,10.8045573,106.6610854,10.8039431,106.6609131,0.070503,195.41,0.000787,,0,,,1.0,A,1000.0,,,0,,,,1,,50,50,tertiary,,,,,,,,,,,,11,,,,,,,,,,,,,,,,2510171952,4
7b2ff4d3d8018b40ecdeef62ff619ec6,,Đường số 41,10.7579629,106.6997338,10.7579884,106.6997668,0.004581,51.81,5.9e-05,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,residential,asphalt,no,,,,,,,,,,15,,,,,,,,,,,,,,,,2510171952,4
ffdbfabf1b779668f7d488f81a0759d8,,Trương Công Định,10.7983099,106.6417176,10.7937318,106.6402984,0.529649,196.94,0.005997,,0,,,1.0,A,1000.0,,,0,,,,1,,,50,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,2510171952,4
