segmentId,name,name_vn,lat_start,lon_start,lat_end,lon_end,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,timeStamp,dayOfWeek,distance_m,duration_sec,route_weight,mapbox_geometry,lane_count_mapbox,mapbox_maneuvers,mapbox_step_distances_m,mapbox_turn_directions,mapbox_match_confidence
3c39db0c557be235aff028b5bb55ca41,3 Tháng 2,Đường 3 Tháng 2,10.7711007,106.6734728,10.7674299,106.6665142,50.0,FRC2,service,concrete,,,,20.0,32.0,0.0,0.625,1035.0,37.5,0,C,0.09,,,,,,,,,,0.010629,241.76585897791853,2512081757,0,997.165,243.719,247.155,"[[106.673473, 10.771101], [106.673662, 10.771219], [106.673743, 10.771269], [106.673942, 10.771391], [106.67389, 10.771469], [106.673608, 10.771299], [106.673345, 10.77114], [106.673191, 10.771048], [106.673064, 10.770973], [106.672971, 10.770922], [106.672919, 10.770891], [106.671818, 10.770284], [106.671446, 10.770088], [106.671224, 10.769958], [106.671071, 10.769875], [106.671004, 10.769836], [106.670749, 10.769695], [106.670671, 10.769655], [106.670074, 10.769331], [106.669963, 10.769289], [106.669699, 10.769157], [106.668924, 10.768755], [106.66827, 10.768405], [106.668232, 10.768384], [106.667927, 10.768225], [106.667898, 10.768233], [106.667867, 10.768231], [106.667839, 10.76822], [106.667815, 10.768201], [106.667802, 10.768181], [106.667794, 10.768159], [106.667512, 10.768005], [106.667391, 10.767939], [106.667171, 10.767831], [106.667123, 10.767804], [106.667023, 10.767749], [106.666908, 10.767684], [106.66675, 10.767595], [106.666623, 10.767518], [106.666599, 10.767504], [106.666503, 10.767449]]",,"['depart', 'continue', 'fork', 'roundabout', 'arrive']","[60.604, 490.885, 265.219, 180.457, 0]","['left', 'left', 'left', 'left', 'left']",0.98021
d71dd5fac508e54d226b3a5e3a350cea,3 Tháng 2,Đường 3 Tháng 2,10.7637713,106.6597513,10.7659517,106.6640311,50.0,FRC2,residential,asphalt,,,,20.5,33.0,0.0,0.6212121212121212,1562.73,37.878787878787875,0,C,0.08780487804878048,,,,,,,,,,0.00646,62.58883332691562,2512081756,0,1237.092,291.472,278.959,"[[106.659751, 10.763771], [106.659434, 10.763598], [106.658999, 10.763362], [106.658923, 10.763321], [106.658698, 10.763198], [106.657887, 10.762755], [106.657659, 10.762633], [106.657195, 10.762377], [106.657133, 10.762343], [106.657061, 10.762303], [106.65697, 10.762256], [106.657001, 10.762159], [106.657103, 10.762214], [106.657185, 10.762261], [106.657482, 10.762425], [106.658679, 10.763079], [106.659815, 10.763704], [106.659903, 10.763752], [106.659949, 10.763774], [106.66005, 10.763824], [106.660176, 10.763898], [106.660568, 10.764105], [106.660847, 10.764253], [106.660913, 10.764288], [106.661062, 10.764368], [106.661161, 10.764421], [106.661241, 10.764463], [106.661319, 10.764505], [106.661432, 10.764565], [106.661554, 10.764628], [106.661641, 10.764677], [106.662073, 10.764904], [106.662427, 10.765096], [106.66275, 10.765268], [106.662873, 10.765335], [106.662958, 10.765379], [106.663066, 10.765437], [106.663514, 10.765676], [106.663948, 10.765906], [106.664038, 10.765954]]",,"['depart', 'continue', 'arrive']","[347.815, 889.277, 0]","['left', 'left', 'left']",0.981511
fd3679f127d3799d313a5db2a703ef9b,3 Tháng 2,Đường 3 Tháng 2,10.7575536,106.6482993,10.7618422,106.6562075,50.0,FRC2,primary,asphalt,yes,,,19.0,33.0,0.0,0.5757575757575758,2247.27,42.42424242424242,0,C,0.09473684210526316,,,,,,,,yes,,0.012197,61.10044429637725,2512081756,0,1204.005,235.932,247.147,"[[106.648299, 10.757554], [106.648137, 10.757881], [106.648172, 10.758099], [106.648709, 10.758071], [106.64893, 10.758053], [106.649085, 10.758048], [106.649098, 10.758048], [106.649189, 10.758045], [106.649406, 10.758047], [106.649613, 10.758158], [106.649869, 10.7583], [106.649974, 10.758358], [106.650108, 10.758429], [106.65071, 10.758754], [106.650799, 10.758802], [106.6512, 10.759016], [106.651277, 10.759057], [106.651345, 10.759084], [106.651433, 10.759136], [106.651517, 10.759186], [106.651744, 10.759311], [106.651957, 10.759429], [106.652445, 10.759693], [106.652587, 10.75977], [106.652679, 10.75982], [106.65311, 10.760044], [106.653182, 10.760085], [106.653263, 10.760132], [106.65334, 10.760176], [106.65341, 10.760218], [106.653601, 10.760319], [106.653864, 10.760462], [106.653949, 10.760508], [106.65422, 10.760654], [106.654318, 10.760708], [106.654511, 10.760812], [106.654817, 10.760978], [106.655056, 10.761108], [106.655149, 10.761158], [106.655464, 10.761328], [106.655674, 10.761442], [106.655776, 10.761498], [106.655967, 10.761601], [106.656466, 10.761871], [106.656677, 10.761985], [106.656803, 10.762053], [106.656753, 10.762144], [106.656207, 10.761842]]",3.0,"['depart', 'turn', 'turn', 'continue', 'arrive']","[65.052, 135.136, 923.839, 79.978, 0]","['left', 'left', 'left', 'left', 'left']",0.980432
38094a1b942b79e5625ffb721389a3f1,18,Đường Hương Lộ 8,10.6812591,106.5374757,10.681695,106.5402437,50.0,FRC4,secondary,asphalt,,,ĐT.830C,34.0,45.5,0.0,0.7472527472527473,1629.89,25.274725274725274,0,B,0.052941176470588235,,,,,,,,,,0.003204,80.895215755621,2512081756,0,311.635,49.398,49.672,"[[106.537476, 10.681259], [106.537776, 10.681448], [106.537936, 10.681515], [106.538016, 10.681529], [106.538169, 10.681555], [106.538312, 10.681579], [106.538607, 10.681588], [106.539562, 10.681617], [106.540242, 10.681709]]",,"['depart', 'arrive']","[311.635, 0]","['left', 'left']",0.974007
44b0a456b8ab0fb802669e4db97cfdd5,3 Tháng 2,Đường 3 Tháng 2,10.7776498,106.6811565,10.7575536,106.6482993,50.0,FRC2,primary,asphalt,no,,,19.5,32.5,0.0,0.6,2700.0,40.0,0,C,0.0923076923076923,,,both,,,,,,,0.052953,238.0973284960429,2512081756,0,4277.065,823.023,808.509,"[[106.681182, 10.777636], [106.681139, 10.777583], [106.681099, 10.777528], [106.681064, 10.777469], [106.681038, 10.777424], [106.680014, 10.775613], [106.679957, 10.775513], [106.679899, 10.775423], [106.679836, 10.775337], [106.679769, 10.775253], [106.679697, 10.775174], [106.679622, 10.775098], [106.679543, 10.775027], [106.67946, 10.77496], [106.679374, 10.774898], [106.67863, 10.774433], [106.678438, 10.774314], [106.677843, 10.773943], [106.677789, 10.773909], [106.677703, 10.773856], [106.677645, 10.773815], [106.676442, 10.773064], [106.67628, 10.772962], [106.675387, 10.7724], [106.675189, 10.772275], [106.675059, 10.772193], [106.674912, 10.772099], [106.674315, 10.771733], [106.674272, 10.771707], [106.674118, 10.77161], [106.673967, 10.771515], [106.67389, 10.771469], [106.673608, 10.771299], [106.673345, 10.77114], [106.673191, 10.771048], [106.673064, 10.770973], [106.672971, 10.770922], [106.672919, 10.770891], [106.671818, 10.770284], [106.671446, 10.770088], [106.671224, 10.769958], [106.671071, 10.769875], [106.671004, 10.769836], [106.670749, 10.769695], [106.670671, 10.769655], [106.670074, 10.769331], [106.669904, 10.76919], [106.669806, 10.769132], [106.667084, 10.76771], [106.665471, 10.766791], [106.665389, 10.766745], [106.665252, 10.766695], [106.665143, 10.766667], [106.664096, 10.766096], [106.664072, 10.76608], [106.663992, 10.766037], [106.663902, 10.765988], [106.663477, 10.765761], [106.663202, 10.765614], [106.663021, 10.765517], [106.662933, 10.765471], [106.662877, 10.765442], [106.66283, 10.765417], [106.66271, 10.765353], [106.661852, 10.764894], [106.661599, 10.764759], [106.661434, 10.764673], [106.66139, 10.764648], [106.661126, 10.764507], [106.660876, 10.764374], [106.660486, 10.764166], [106.660318, 10.764079], [106.660253, 10.764042], [106.66013, 10.763977], [106.660017, 10.763917], [106.659924, 10.763865], [106.659868, 10.763836], [106.659804, 10.763801], [106.659751, 10.763771], [106.659434, 10.763598], [106.658999, 10.763362], [106.658923, 10.763321], [106.658698, 10.763198], [106.657887, 10.762755], [106.657659, 10.762633], [106.657195, 10.762377], [106.657133, 10.762343], [106.657061, 10.762303], [106.65697, 10.762256], [106.65679, 10.762159], [106.656753, 10.762144], [106.656207, 10.761842], [106.655819, 10.761632], [106.655582, 10.761504], [106.655369, 10.761388], [106.655339, 10.761372], [106.654796, 10.761075], [106.654372, 10.760848], [106.653815, 10.760548], [106.653646, 10.760456], [106.653362, 10.760303], [106.653296, 10.760269], [106.653222, 10.760227], [106.653129, 10.760176], [106.652629, 10.759903], [106.652542, 10.759857], [106.652395, 10.75978], [106.652344, 10.759755], [106.652167, 10.759655], [106.651989, 10.759559], [106.651793, 10.759453], [106.651587, 10.759339], [106.651465, 10.759272], [106.651387, 10.759232], [106.651348, 10.759211], [106.651301, 10.759187], [106.651228, 10.75915], [106.650893, 10.758969], [106.65088, 10.758962], [106.650439, 10.758722], [106.649925, 10.758444], [106.649812, 10.758383], [106.649365, 10.75814], [106.649189, 10.758045], [106.649064, 10.757978], [106.648967, 10.757925], [106.648588, 10.757714], [106.648299, 10.757554]]",3.0,"['depart', 'fork', 'continue', 'arrive']","[1557.465, 1225.971, 1493.63, 0]","['left', 'left', 'left', 'left']",0.981611
d71dd5fac508e54d226b3a5e3a350cea,3 Tháng 2,Đường 3 Tháng 2,10.7667954,106.6656006,10.7637713,106.6597513,50.0,FRC2,residential,,,,,19.5,32.5,0.0,0.6,1080.0,40.0,0,C,0.0923076923076923,,,,,,,,,,0.008873,242.2443312027392,2512081756,0,1135.312,270.761,260.692,"[[106.665601, 10.766795], [106.665903, 10.766966], [106.666111, 10.767084], [106.666245, 10.76716], [106.666535, 10.767323], [106.666631, 10.767378], [106.666942, 10.767555], [106.666967, 10.767569], [106.66706, 10.767622], [106.667169, 10.767681], [106.667123, 10.767804], [106.667023, 10.767749], [106.666908, 10.767684], [106.66675, 10.767595], [106.666623, 10.767518], [106.666599, 10.767504], [106.666349, 10.767362], [106.666031, 10.767181], [106.665859, 10.767083], [106.665666, 10.766975], [106.665627, 10.766953], [106.665285, 10.766762], [106.665143, 10.766667], [106.664096, 10.766096], [106.664072, 10.76608], [106.663992, 10.766037], [106.663902, 10.765988], [106.663477, 10.765761], [106.663202, 10.765614], [106.663021, 10.765517], [106.662933, 10.765471], [106.662877, 10.765442], [106.66283, 10.765417], [106.66271, 10.765353], [106.661852, 10.764894], [106.661599, 10.764759], [106.661434, 10.764673], [106.66139, 10.764648], [106.661126, 10.764507], [106.660876, 10.764374], [106.660486, 10.764166], [106.660318, 10.764079], [106.660253, 10.764042], [106.66013, 10.763977], [106.660017, 10.763917], [106.659924, 10.763865], [106.659868, 10.763836], [106.659804, 10.763801], [106.659751, 10.763771]]",3.0,"['depart', 'continue', 'continue', 'arrive']","[197.821, 874.889, 62.602, 0]","['left', 'left', 'left', 'left']",0.980766
fd3679f127d3799d313a5db2a703ef9b,3 Tháng 2,Đường 3 Tháng 2,10.7618422,106.6562075,10.755822,106.6453021,50.0,FRC2,residential,concrete,,,,20.5,33.0,0.0,0.6212121212121212,1041.82,37.878787878787875,0,C,0.08780487804878048,,,,,,,,,,0.016926,240.66868879060385,2512081756,0,1859.196,307.762,300.042,"[[106.656207, 10.761842], [106.655819, 10.761632], [106.655582, 10.761504], [106.655369, 10.761388], [106.655339, 10.761372], [106.654796, 10.761075], [106.654372, 10.760848], [106.653815, 10.760548], [106.653646, 10.760456], [106.653362, 10.760303], [106.653296, 10.760269], [106.653222, 10.760227], [106.653129, 10.760176], [106.652629, 10.759903], [106.652542, 10.759857], [106.652395, 10.75978], [106.652344, 10.759755], [106.652167, 10.759655], [106.651989, 10.759559], [106.651793, 10.759453], [106.651587, 10.759339], [106.651465, 10.759272], [106.651387, 10.759232], [106.651348, 10.759211], [106.651301, 10.759187], [106.651228, 10.75915], [106.650893, 10.758969], [106.65088, 10.758962], [106.650439, 10.758722], [106.649925, 10.758444], [106.649812, 10.758383], [106.649365, 10.75814], [106.649189, 10.758045], [106.649064, 10.757978], [106.648967, 10.757925], [106.648588, 10.757714], [106.648299, 10.757554], [106.648075, 10.757427], [106.647494, 10.757116], [106.646865, 10.75678], [106.646774, 10.75673], [106.64624, 10.756439], [106.645993, 10.756305], [106.645778, 10.756188], [106.645318, 10.755928], [106.645217, 10.755899], [106.645191, 10.755885], [106.644811, 10.755678], [106.644593, 10.755559], [106.644467, 10.75549], [106.644235, 10.755367], [106.643941, 10.755203], [106.64368, 10.755058], [106.643569, 10.754997], [106.643502, 10.75496], [106.643421, 10.75491], [106.643326, 10.754848], [106.64337, 10.754809], [106.643442, 10.75478], [106.64347, 10.7548], [106.64374, 10.754962], [106.644621, 10.755447], [106.644688, 10.755483], [106.645141, 10.755733], [106.645302, 10.755822]]",,"['depart', 'fork', 'continue', 'arrive']","[1360.825, 249.169, 249.202, 0]","['left', 'left', 'left', 'left']",0.98161
edd1cb66ba061a4d7e7df40bdad581a4,3 Tháng 2,Đường 3 Tháng 2,10.766037,106.6639913,10.7580658,106.6494435,50.0,FRC2,tertiary,asphalt,,,,20.5,33.0,0.0,0.6212121212121212,2083.64,37.878787878787875,0,C,0.08780487804878048,,,,,,,,,,0.022519,240.8511286794635,2512081756,0,1871.058,392.193,382.149,"[[106.663992, 10.766037], [106.663902, 10.765988], [106.663477, 10.765761], [106.663202, 10.765614], [106.663021, 10.765517], [106.662933, 10.765471], [106.662877, 10.765442], [106.66283, 10.765417], [106.66271, 10.765353], [106.661852, 10.764894], [106.661599, 10.764759], [106.661434, 10.764673], [106.66139, 10.764648], [106.661126, 10.764507], [106.660876, 10.764374], [106.660486, 10.764166], [106.660318, 10.764079], [106.660253, 10.764042], [106.66013, 10.763977], [106.660017, 10.763917], [106.659924, 10.763865], [106.659868, 10.763836], [106.659804, 10.763801], [106.659751, 10.763771], [106.659434, 10.763598], [106.658999, 10.763362], [106.658923, 10.763321], [106.658698, 10.763198], [106.657887, 10.762755], [106.657659, 10.762633], [106.657195, 10.762377], [106.657133, 10.762343], [106.657061, 10.762303], [106.65697, 10.762256], [106.65679, 10.762159], [106.656753, 10.762144], [106.656207, 10.761842], [106.655819, 10.761632], [106.655582, 10.761504], [106.655369, 10.761388], [106.655339, 10.761372], [106.654796, 10.761075], [106.654372, 10.760848], [106.653815, 10.760548], [106.653646, 10.760456], [106.653362, 10.760303], [106.653296, 10.760269], [106.653222, 10.760227], [106.653129, 10.760176], [106.652629, 10.759903], [106.652542, 10.759857], [106.652395, 10.75978], [106.652344, 10.759755], [106.652167, 10.759655], [106.651989, 10.759559], [106.651793, 10.759453], [106.651587, 10.759339], [106.651465, 10.759272], [106.651387, 10.759232], [106.651348, 10.759211], [106.651301, 10.759187], [106.651228, 10.75915], [106.650893, 10.758969], [106.65088, 10.758962], [106.650439, 10.758722], [106.649925, 10.758444], [106.649812, 10.758383], [106.649365, 10.75814], [106.649189, 10.758045], [106.649406, 10.758047]]",3.0,"['depart', 'continue', 'turn', 'arrive']","[465.327, 1381.998, 23.733, 0]","['left', 'left', 'left', 'left']",0.98038
9e0cf64a0c081b39123a6df04e7d0521,3 Tháng 2,Đường 3 Tháng 2,10.7674299,106.6665142,10.766037,106.6639913,50.0,FRC2,residential,concrete,,,,19.5,32.5,0.0,0.6,1620.0,40.0,0,C,0.0923076923076923,,,,,,,,,,0.003916,240.66441499783247,2512081757,0,316.484,72.722,69.969,"[[106.666503, 10.767449], [106.666349, 10.767362], [106.666031, 10.767181], [106.665859, 10.767083], [106.665666, 10.766975], [106.665627, 10.766953], [106.665285, 10.766762], [106.665143, 10.766667], [106.664096, 10.766096], [106.664072, 10.76608], [106.663992, 10.766037]]",,"['depart', 'arrive']","[316.484, 0]","['left', 'left']",0.980266
edd1cb66ba061a4d7e7df40bdad581a4,3 Tháng 2,Đường 3 Tháng 2,10.7580658,106.6494435,10.7711007,106.6734728,50.0,FRC2,residential,asphalt,,,,21.0,32.5,0.0,0.6461538461538462,1495.38,35.38461538461538,0,C,0.08571428571428572,,,,,,,,,,0.037064,61.09136239332747,2512081757,0,3007.841,578.73,568.111,"[[106.649406, 10.758047], [106.649613, 10.758158], [106.649869, 10.7583], [106.649974, 10.758358], [106.650108, 10.758429], [106.65071, 10.758754], [106.650799, 10.758802], [106.6512, 10.759016], [106.651277, 10.759057], [106.651345, 10.759084], [106.651433, 10.759136], [106.651517, 10.759186], [106.651744, 10.759311], [106.651957, 10.759429], [106.652445, 10.759693], [106.652587, 10.75977], [106.652679, 10.75982], [106.65311, 10.760044], [106.653182, 10.760085], [106.653263, 10.760132], [106.65334, 10.760176], [106.65341, 10.760218], [106.653601, 10.760319], [106.653864, 10.760462], [106.653949, 10.760508], [106.65422, 10.760654], [106.654318, 10.760708], [106.654511, 10.760812], [106.654817, 10.760978], [106.655056, 10.761108], [106.655149, 10.761158], [106.655464, 10.761328], [106.655674, 10.761442], [106.655776, 10.761498], [106.655967, 10.761601], [106.656466, 10.761871], [106.656677, 10.761985], [106.656803, 10.762053], [106.65684, 10.762071], [106.656917, 10.762113], [106.657001, 10.762159], [106.657103, 10.762214], [106.657185, 10.762261], [106.657482, 10.762425], [106.658679, 10.763079], [106.659815, 10.763704], [106.659903, 10.763752], [106.659949, 10.763774], [106.66005, 10.763824], [106.660176, 10.763898], [106.660568, 10.764105], [106.660847, 10.764253], [106.660913, 10.764288], [106.661062, 10.764368], [106.661161, 10.764421], [106.661241, 10.764463], [106.661319, 10.764505], [106.661432, 10.764565], [106.661554, 10.764628], [106.661641, 10.764677], [106.662073, 10.764904], [106.662427, 10.765096], [106.66275, 10.765268], [106.662873, 10.765335], [106.662958, 10.765379], [106.663066, 10.765437], [106.663514, 10.765676], [106.663948, 10.765906], [106.664038, 10.765954], [106.664118, 10.765997], [106.664807, 10.766383], [106.665185, 10.766587], [106.665271, 10.766666], [106.665389, 10.766745], [106.665471, 10.766791], [106.667084, 10.76771], [106.669806, 10.769132], [106.669904, 10.76919], [106.670104, 10.769264], [106.670204, 10.769315], [106.670445, 10.769446], [106.670707, 10.769592], [106.67078, 10.769633], [106.670955, 10.769723], [106.670993, 10.769737], [106.671049, 10.769758], [106.67111, 10.769807], [106.671325, 10.769922], [106.671494, 10.770013], [106.671722, 10.770135], [106.672004, 10.770287], [106.672324, 10.770459], [106.672625, 10.77062], [106.672974, 10.770802], [106.673059, 10.770847], [106.673156, 10.770903], [106.67325, 10.770962], [106.673473, 10.771101]]",,"['depart', 'fork', 'arrive']","[1970.341, 1037.5, 0]","['left', 'left', 'left']",0.980792
