segmentId,name,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount,speedLimit,frc,roadType,surface,oneway,width,ref,currentSpeed,freeFlowSpeed,jamFactor,congestionIndex,trafficVolume,occupancy,incidentFlag,LOS,crossTime,busRoute,bicycleLane,sidewalk,bridgeTunnel,maxHeight,maxWeight,barrier,lit,crossing,curvatureIndex,bearing,lengthKm,timeStamp,dayOfWeek
a7e8464abc9a8b7fa8ccfdb1d8c3e6bd,Lý Thái Tổ,Đường Lý Thái Tổ,10.7461614,106.7956925,10.7443127,106.8027109,2.0,50.0,FRC4,primary,,,,ĐT.769B,43.0,43.0,0.0,1.0,720.0,0.0,0,A,41.860465116279066,,,,,,,,,,0.008867,105.0078700560266,0.7944437990509825,2512202200,5
2081ddc5bbfb5ef4adab6c91085293d4,Đường Minh Phụng,Đường Minh Phụng,10.7618932,106.6444788,10.7618644,106.6445646,1.0,50.0,FRC4,service,,,,,23.5,30.0,0.0,0.7833333333333333,750.0,21.666666666666668,0,B,76.59574468085106,,,,,,,,,,0.000115,108.86394527303612,0.009910288576535,2512202200,5
5e821e35fcda063be2bb55ed0cd66a70,Đường Liên Ấp 6-2,Đường Liên Ấp 6-2,10.8195165,106.5507126,10.8195126,106.5508201,1.0,50.0,FRC3,tertiary,,,,,38.0,42.0,0.0,0.9047619047619048,531.43,9.523809523809524,0,A,47.368421052631575,,,,,,,,,,0.000111,92.11528583731206,0.011763414459228,2512202200,5
b07cddff21e96635b34fd7221a0b4c62,Hồng Bàng,Đường Hồng Bàng,10.7550108,106.6603376,10.7534697,106.6530134,2.0,50.0,FRC2,tertiary,asphalt,yes,,,30.5,35.0,0.0,0.8714285714285714,1182.86,12.857142857142856,0,B,59.01639344262296,,,,,,,,,,0.008865,257.9120637733799,0.8190355394235358,2512202200,5
4acc35dfc56bacf61b6804ae09abdd9c,Lê Văn Việt,Hẻm 248 Xa Lộ Hà Nội,10.8486663,106.7744207,10.8484707,106.774693,3.0,50.0,FRC1,secondary,asphalt,yes,,,49.0,49.0,0.0,1.0,1080.0,0.0,0,A,36.73469387755102,,,,,,,,,,0.000468,126.18159469455236,0.0368050795314437,2512202200,5
1488e788120edf799c5d8df1e3c9fd78,Đường số 10,Đường Số 10,10.7414548,106.7099956,10.7498061,106.6287236,2.0,50.0,FRC4,tertiary,asphalt,yes,,,26.5,31.5,0.0,0.8412698412698413,1291.43,15.873015873015872,0,B,67.9245283018868,,,,,,,,,,0.089623,275.9785150520256,8.937414384343285,2512202200,5
6c4fef080a3fa7d2179b5e3f0ef490c6,Lý Chính Thắng,Đường Nam Kỳ Khởi Nghĩa,10.788335,106.6850959,10.7885356,106.6851801,3.0,60.0,FRC3,secondary,asphalt,yes,,,17.5,29.5,0.0,0.5932203389830508,3276.61,40.67796610169492,0,C,102.85714285714285,,,,,,,,,,0.000285,22.407417611106663,0.0240239190063426,2512202200,5
f6d6fdc8243654b3205cca9e58cd0e26,Ngô Quyền,Đường Ngô Quyền,10.7613478,106.6650929,10.756629,106.6661917,1.5,50.0,FRC4,residential,asphalt,yes,,,25.5,30.5,0.0,0.8360655737704918,982.62,16.393442622950815,0,B,70.58823529411765,,,,,,,,,,0.005818,167.1144940513077,0.5356178046849397,2512202200,5
e380c78f707437fc909242b77223c5c3,Đường số 18B,Đường Số 18B,10.7796339,106.5996935,10.7796381,106.5996261,1.0,50.0,FRC4,tertiary,,,,,28.5,33.0,0.0,0.8636363636363636,605.45,13.636363636363637,0,B,63.1578947368421,,,,,,,,,,7.2e-05,273.6296383576367,0.0073860236587901,2512202201,5
c130fe295990556b2f6683348393e9ca,Bắc Hải,Đường Thành Thái,10.7781305,106.6563416,10.7807392,106.6588525,1.5,50.0,FRC4,primary_link,asphalt,yes,,,27.5,31.5,0.0,0.873015873015873,882.86,12.698412698412698,0,B,65.45454545454545,,,,,,,,,,0.00512,43.395924985332215,0.3983423747729099,2512202201,5
