segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,laneCount_aggregated,speedLimit,frc,roadType,surface,oneway,ref,curvatureIndex,bearing,lengthKm,intersectionCount,routeSlopePercent,startElevation,endElevation,timeStamp,dayOfWeek,hourOfDay,dayType,currentSpeed,freeFlowSpeed,jamFactor,incidentFlag,congestionIndex,trafficVolume,LOS,occupancy,crossTime,speedLimitRatio,relativeCongestionIndex,route_distance_m,route_duration_sec,route_weight,congestion_levels,map_match_confidence
c1d9c55ac84173f24d9850910ad301af,Đường Tạ Uyên,10.7537874,106.6537848,10.7537826,106.6537256,1.0,50.0,,,asphalt,no,,6.4e-05,265.2820499951693,0.0064968647662687,5,0.0,21.0,21.0,2604041816,5,18,Weekend,26.0,35.0,0.0,0,0.7428571428571429,822.86,B,25.71428571428571,0.0008995658907141277,0.52,0.2571428571428571,0.0,0.0,0.0,[],0.985013
73318dff2dc6874661d0bafd247488a4,Phạm Văn Chiêu,10.8541753,106.665484,10.8523298,106.6602254,1.0,50.0,,,asphalt,no,,0.007104,250.33661357697443,0.6101445353024589,3,-1.147269146077,14.0,7.0,2604041816,5,18,Weekend,33.0,48.0,0.0,0,0.6875,922.5,C,31.25,0.06656122203299553,0.66,0.3125,610.387,122.716,123.553,[],0.980044
713803d72db3be4d1ed05f4689594598,Phường An Bình,10.8753861,106.7588382,10.8750874,106.7505911,1.0,50.0,,,asphalt,no,,0.008546,267.8886002317484,0.9022874677364008,2,2.438247319913702,8.0,30.0,2604041816,5,18,Weekend,34.0,47.5,0.0,0,0.7157894736842105,871.58,B,28.421052631578945,0.09553632011326596,0.68,0.28421052631578947,2167.547,292.686,316.882,[],0.0
251fd401a7019af05b00a105df374d97,Hẻm 506 Lạc Long Quân,10.7711649,106.6460379,10.7705706,106.6472103,1.0,50.0,,residential,concrete,no,,0.001767,117.29360547904588,0.1440953772411892,4,0.0,32.0,32.0,2604041816,5,18,Weekend,19.0,31.0,0.0,0,0.6129032258064516,1056.77,C,38.70967741935484,0.027302282003593744,0.38,0.3870967741935484,146.307,35.11,36.096,[],0.980482
81e23f422129017a89124e6745ee2365,cầu Rạch Ông,10.7507792,106.6892692,10.7507855,106.6893325,1.0,50.0,,,asphalt,no,,7e-05,84.21542682187646,0.0069586295612373,5,0.0,24.0,24.0,2604041816,5,18,Weekend,24.0,35.0,0.0,0,0.6857142857142857,925.71,C,31.428571428571427,0.001043794434185595,0.48,0.3142857142857143,6.942,0.927,0.927,[],0.977417
d21e230286ed05f3b67dd652c64f0201,Xa Lộ Hà Nội,10.8010884,106.7392519,10.8020857,106.7438001,1.0,50.0,,,asphalt,no,,0.005546,77.41582400988426,0.5094774347869659,5,0.9813977339527729,5.0,10.0,2604041816,5,18,Weekend,35.5,45.5,0.0,0,0.7802197802197802,755.6,B,21.978021978021978,0.051665317330509226,0.71,0.21978021978021978,1049.948,105.008,101.489,[],0.0
4f567f2a96a55fa7d1f6b97970a6caab,Mã Lò,10.7834104,106.5989412,10.7764236,106.6008637,1.0,50.0,,,asphalt,no,,0.008909,164.87390944289905,0.8009233031071288,1,-0.6242795009962667,26.0,21.0,2604041816,5,18,Weekend,28.0,40.5,0.0,0,0.691358024691358,915.56,C,30.864197530864203,0.10297585325663085,0.56,0.30864197530864196,806.79,141.475,145.701,[],0.980401
71bcdd26e2e19e96475f384f69fe894c,Hòa Bình,10.7728903,106.6238934,10.7731687,106.6229767,1.0,50.0,,,asphalt,no,,0.001195,287.1789044434228,0.1048824741235468,2,0.0,10.0,10.0,2604041816,5,18,Weekend,22.0,31.0,0.0,0,0.7096774193548387,882.58,B,29.032258064516125,0.017162586674762205,0.44,0.2903225806451613,1162.24,242.073,269.827,[],0.970808
484c28c23410d622d39953dfe9ae544b,Nguyễn Kim,10.7556227,106.6633772,10.7555118,106.6633989,1.0,50.0,,,asphalt,no,,0.000133,169.11852788414467,0.0124944825311056,4,0.0,33.0,33.0,2604041816,5,18,Weekend,25.5,35.0,0.0,0,0.7285714285714285,848.57,B,27.142857142857146,0.0017639269455678496,0.51,0.2714285714285714,12.262,3.34,3.34,[],0.921623
bcbced11f42b439c245dea1d61eb96f7,Gò Dưa,10.8691182,106.73608,10.8665765,106.7267906,1.0,50.0,,,asphalt,no,,0.011831,254.4325127217409,1.0538594686068292,4,1.613118305277789,10.0,27.0,2604041816,5,18,Weekend,28.0,42.5,0.0,0,0.6588235294117647,974.12,C,34.11764705882353,0.1354962173923066,0.56,0.3411764705882353,1053.125,197.794,209.677,[],0.980688
