fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,n_points,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size
MI,partition,KMeans,"{'k': 3, 'n_init': 10}",3,0.24485266578358708,1.5905841348069094,500.1218010411593,0.17591325234744168,0.21427713829967704,0.4253164556962025,1.0850632911392406,1.6460155189449446,1975,0.0,0.3488607594936709,634,689
MI,partition,KMeans,"{'k': 3, 'n_init': 20}",3,0.24482883263910912,1.5904728840418851,500.12251909824084,0.17618851985230158,0.21463816668984306,0.4253164556962025,1.0840506329113924,1.644784622890244,1975,0.0,0.3493670886075949,634,690
MI,partition,KMeans,"{'k': 5, 'n_init': 10}",5,0.2955994641750687,1.3595976193091268,489.5820844668776,0.17348615049459573,0.22123533117198357,0.4460759493670886,1.060253164556962,1.61825034441992,1975,0.0,0.31139240506329113,241,615
MI,partition,KMeans,"{'k': 5, 'n_init': 20}",5,0.2955994641750687,1.3595976193091268,489.5820844668776,0.17348615049459573,0.22123533117198357,0.4460759493670886,1.060253164556962,1.61825034441992,1975,0.0,0.31139240506329113,241,615
MI,partition,KMeans,"{'k': 7, 'n_init': 10}",7,0.2909481537016273,1.2726552936172342,450.36326762874364,0.20906438768629976,0.32040409432203354,0.5422784810126582,0.8111392405063291,1.3958346715781733,1975,0.0,0.2708860759493671,157,535
MI,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.2909481537016273,1.2726552936172342,450.36326762874364,0.20906438768629976,0.32040409432203354,0.5422784810126582,0.8111392405063291,1.3958346715781733,1975,0.0,0.2708860759493671,157,535
MI,partition,KMeans,"{'k': 9, 'n_init': 10}",9,0.29751138354207246,1.2588622237667375,434.05638060796053,0.21007081582588155,0.3635654572123415,0.5853164556962025,0.570632911392405,1.0050505371763556,1975,0.0,0.21873417721518987,119,432
MI,partition,KMeans,"{'k': 9, 'n_init': 20}",9,0.2989046030198816,1.2579600246618776,434.08634998730446,0.21091708997634365,0.36590906237507664,0.5837974683544304,0.5893670886075949,1.0419067233937809,1975,0.0,0.22329113924050634,119,441
MI,partition,KMeans,"{'k': 11, 'n_init': 10}",11,0.28344458963502067,1.2997778935563669,409.7750041010294,0.22476266038643544,0.3918258562337007,0.6146835443037975,0.4850632911392405,0.8413370913408149,1975,0.0,0.1458227848101266,65,288
MI,partition,KMeans,"{'k': 11, 'n_init': 20}",11,0.2972574335684096,1.2642693099687632,411.02342085706755,0.1980561128556985,0.37506938721013716,0.589873417721519,0.5270886075949367,0.8992261089051568,1975,0.0,0.18835443037974683,73,372
MI,partition,KMeans,"{'k': 13, 'n_init': 10}",13,0.3057380921257744,1.239546140521484,393.8689580960909,0.186733702761351,0.3629005356301056,0.6151898734177215,0.499746835443038,0.8735204489212284,1975,0.0,0.15848101265822784,71,313
MI,partition,KMeans,"{'k': 13, 'n_init': 20}",13,0.28722554243587123,1.2774506789742497,394.61692823587947,0.21046671397570016,0.3820183562617533,0.6293670886075949,0.4850632911392405,0.8662446229763525,1975,0.0,0.14430379746835442,58,285
MI,partition,KMeans,"{'k': 15, 'n_init': 10}",15,0.31551267820607226,1.1883360472162443,375.2467129631747,0.18815564241533808,0.3775294572194797,0.6303797468354431,0.47037974683544304,0.8380205731440358,1975,0.0,0.15848101265822784,17,313
MI,partition,KMeans,"{'k': 15, 'n_init': 20}",15,0.30950990555274904,1.2159790990327624,377.7650144822616,0.1959018102585931,0.38123439468032994,0.6374683544303797,0.4931645569620253,0.901194706339411,1975,0.0,0.14379746835443039,43,284
MI,partition,KMeans,"{'k': 17, 'n_init': 10}",17,0.28957707094165663,1.2250512698597709,370.34573275148745,0.1977693736964351,0.3858508290492389,0.6541772151898734,0.450126582278481,0.83681130761777,1975,0.0,0.13569620253164558,17,268
MI,partition,KMeans,"{'k': 17, 'n_init': 20}",17,0.28957707094165663,1.2250512698597709,370.34573275148745,0.1977693736964351,0.3858508290492389,0.6541772151898734,0.450126582278481,0.83681130761777,1975,0.0,0.13569620253164558,17,268
MI,partition,KMeans,"{'k': 19, 'n_init': 10}",19,0.2850309946737564,1.2364279635048132,355.86137739036417,0.19343591268603055,0.39132781061801764,0.6643037974683544,0.43645569620253166,0.8230846581187016,1975,0.0,0.1291139240506329,17,255
MI,partition,KMeans,"{'k': 19, 'n_init': 20}",19,0.2850309946737564,1.2364279635048132,355.86137739036417,0.19343591268603055,0.39132781061801764,0.6643037974683544,0.43645569620253166,0.8230846581187016,1975,0.0,0.1291139240506329,17,255
MI,partition,MiniBatchKMeans,{'k': 3},3,0.24411992261381937,1.5867590872547435,496.32822929197096,0.18242489504098053,0.22286356287270015,0.43037974683544306,1.0658227848101265,1.618719606527629,1975,0.0,0.34025316455696203,639,672
