fs_method,family,algorithm,params,n_clusters,silhouette,davies_bouldin,calinski_harabasz,ARI,NMI,accuracy_majority,MAE,RMSE,noise_ratio,largest_cluster_ratio,min_cluster_size,largest_cluster_size,weighted_score,pareto_front,gate_pass,gate_reason
RF,model,GMM,"{'n_components': 5, 'covariance_type': 'diag'}",5,0.245923965247318,1.6817572147805044,461.2037856781437,0.4028761208742452,0.495739053343442,0.6075949367088608,0.5083544303797468,0.8858950990846932,0.0,0.25924050632911394,287,512,0.8134712263233798,True,True,
DT,partition,MiniBatchKMeans,{'k': 5},5,0.28497229392829054,1.4457110484856042,366.0326111475235,0.22152666633700754,0.29256091419814584,0.5043037974683544,0.7812658227848102,1.2738857131338674,0.0,0.27341772151898736,254,540,0.6322740975827118,True,True,
MI,partition,MiniBatchKMeans,{'k': 9},9,0.2720888626138025,1.3557959641492827,392.04353256219196,0.2590691523796532,0.3974651566934344,0.5863291139240506,0.5058227848101265,0.8600853652068717,0.0,0.21974683544303797,107,434,0.8136113503724242,True,True,
ET,partition,KMeans,"{'k': 7, 'n_init': 20}",7,0.2652820065804701,1.3767665897211978,502.46694827108143,0.36119423274838824,0.45507852289428735,0.6222784810126583,0.45164556962025315,0.7891671623468518,0.0,0.21721518987341773,138,429,0.8282188611655932,True,True,
XGB,partition,MiniBatchKMeans,{'k': 7},7,0.28161078513903565,1.4289308632275473,360.01105712917723,0.3024705187217762,0.4801864756684805,0.6111392405063291,0.44354430379746834,0.7462988847080342,0.0,0.2992405063291139,72,591,0.6923934341215263,True,True,
