segmentId,name_vn,lat_start,lon_start,lat_end,lon_end,speedLimit,currentSpeed,freeFlowSpeed,congestionIndex,trafficVolume,crossTime,traffic_label,cluster_label_RF,speed_drop,congestion_level_desc,congestion_score
23e19b9b24c80c1d54994897c9cb32ba,Đường Số 621,10.8754861,106.8052044,10.8742918,106.805084,50.0,43.0,57.0,0.7543859649122807,802.11,0.041860465116279,E,1,14.0,Thông thoáng,0.4225920839649362
dc6fa3969a8402ca99063b4d13544eaf,Đường Quách Thị Trang,10.7044998,106.847625,10.7041127,106.8398361,55.0,44.5,44.5,1.0,540.0,0.0404494382022471,E,1,0.0,Thông thoáng,0.4069400667403085
d4c4ea8d2d310022471642cf6e5e8066,Đường Nguyễn Trãi,10.7690424,106.6941176,10.7667354,106.6883701,50.0,16.0,23.0,0.6956521739130435,1361.74,0.1124999999999999,B,3,7.0,Đông,0.3453551314589318
eec9f602f390a983b7168d8f462f8628,Đường Trường Chinh,10.7936226,106.6519615,10.8152248,106.6323883,50.0,21.0,34.5,0.6086956521739131,2660.87,0.0857142857142857,C,3,13.5,Trung bình,0.41234471279594487
6b584a04b44c9d951cfa8ccf3c5c490c,Đường Tỉnh Lộ 43,10.8708511,106.7329016,10.8717994,106.73325,50.0,16.5,31.5,0.5238095238095238,2434.29,0.1090909090909091,B,1,15.0,Đông,0.37321733987224076
23c3b821848dd456f7eaf4509b567d43,Hẻm 2 Đường Số 17,10.8603829,106.7908151,10.8599603,106.7901143,50.0,36.0,46.0,0.782608695652174,751.3,0.05,E,1,10.0,Thông thoáng,0.39685411490057015
943bb5ff6acb233381f4c26d82105def,Đường Điện Biên Phủ,10.7957979,106.7028286,10.8012607,106.7127424,50.0,35.5,40.0,0.8875,1687.5,0.0507042253521126,E,1,4.5,Thông thoáng,0.4352152502742912
c3c013d289edec4813b34f41d283e138,Đường Ngô Quyền,10.7558381,106.6663734,10.7558381,106.6663734,60.0,24.0,35.0,0.6857142857142857,2777.14,0.075,D,3,11.0,Tương đối thoáng,0.4333794035787309
14be1c20c28108e1d0ee5b51f96f0b19,Đường Cao Tốc Trung Lương,10.708894,106.5725739,10.7087587,106.5725888,60.0,40.0,45.0,0.8888888888888888,1680.0,0.045,E,1,5.0,Thông thoáng,0.4404995575292873
ae0a5c7b6986f71651b93f2aa09885af,Đường Tống Văn Trân,10.7697921,106.6444644,10.7697654,106.6445026,50.0,21.0,31.0,0.6774193548387096,940.65,0.0857142857142857,C,3,10.0,Trung bình,0.3485061250572464
92255fa15612381dcc52e287c44216fc,Đường Lý Tự Trọng,10.7721656,106.6944832,10.7779424,106.7010583,50.0,11.0,24.0,0.4583333333333333,3337.5,0.1636363636363636,B,3,13.0,Đông,0.35404758249055984
ed2a2eeb60f28bf68dfbdaf48dbb553a,Đường Nguyễn Văn Linh,10.7283976,106.7085848,10.7285196,106.7085817,50.0,39.0,39.0,1.0,1440.0,0.0461538461538461,E,1,0.0,Thông thoáng,0.44164040044185093
abfcf67d913fad9e43c3bf2068eb5422,Đường Lý Thái Tổ,10.7670409,106.6763647,10.7312283,106.8238056,50.0,33.5,39.0,0.8589743589743589,920.77,0.053731343283582,E,1,5.5,Thông thoáng,0.40023969994572656
84422c631f5384d4e096f96f186a2a7d,Hẻm 206 Lý Thường Kiệt,10.765485,106.6595662,10.7738791,106.6572154,50.0,22.0,35.0,0.6285714285714286,1028.57,0.0818181818181818,C,3,13.0,Trung bình,0.35508609143019115
bcbced11f42b439c245dea1d61eb96f7,Đường Gò Dưa,10.8691182,106.73608,10.8665765,106.7267906,50.0,24.5,42.5,0.5764705882352941,1122.35,0.073469387755102,D,1,18.0,Tương đối thoáng,0.37952593776600135
6d08264bbd0f9b27969170e3ea60e7e0,Đường Cao Tốc Thành phố Hồ Chí Minh-Long Thành-Dầu Giây,10.7964727,106.7824691,10.7949371,106.7599681,55.0,62.0,64.0,0.96875,624.37,0.0290322580645161,E,1,2.0,Thông thoáng,0.4130156108903577
5ccc43e9c3efe340d85bccfc615cf1d1,Đường Tam Bình,10.8547733,106.7343846,10.8550441,106.7349099,50.0,27.0,41.0,0.6585365853658537,1949.27,0.0666666666666666,D,1,14.0,Tương đối thoáng,0.41611448672391976
be440cba554db7ed46d7936731b8bc40,Đường Ngô Tất Tố,10.7923372,106.7131767,10.792197,106.7134711,50.0,29.0,37.0,0.7837837837837838,749.19,0.0620689655172413,D,1,8.0,Tương đối thoáng,0.37803958271401616
418457226cadd3afae1b65cab44e1785,Đường Nguyễn Xiển,10.8428497,106.8286983,10.8424012,106.8281916,50.0,27.0,37.0,0.7297297297297297,1269.73,0.0666666666666666,D,1,10.0,Tương đối thoáng,0.38886798504438136
745c19b541bdadd331a6485c6e92a834,Đường Phạm Văn Đồng,10.8193084,106.6900639,10.8195596,106.6899222,65.0,47.0,47.0,1.0,900.0,0.0382978723404255,E,1,0.0,Thông thoáng,0.4208202002209255
f7bcd82f009170b070b6b2c51ac16e84,Đường Nguyễn Oanh,10.8265194,106.6800719,10.8280713,106.6792437,50.0,23.5,35.0,0.6714285714285714,1427.14,0.076595744680851,D,3,11.5,Tương đối thoáng,0.3786100090172006
a4c90c784cfbf59a11a71a9a246039ef,Đường Tân Chánh Hiệp 8,10.8745351,106.629111,10.8750882,106.6270618,50.0,29.0,47.0,0.6170212765957447,1049.36,0.0620689655172413,D,1,18.0,Tương đối thoáng,0.3981643629322059
7c3f006884ec418918d5f7736a3a07ff,Ngô Gia Tự,10.7669024,106.6738588,10.7671362,106.6740191,50.0,26.0,36.0,0.7222222222222222,1720.0,0.0692307692307692,D,3,10.0,Tương đối thoáng,0.40225684834613007
